"","DF","VC","%Total","SD","CV[%]","Var(VC)"
"total",430.172986963171,1.03778983681239,100,1.01871970473354,3164.07764717651,0.00500732392795875
"Pedigree",1229.09809561925,0.069758209261398,6.7218050116643,0.264117794291483,820.332820947868,7.9183391084912e-06
"SiteYear",156.214866112067,0.624585853713948,60.1842330266393,0.790307442527241,2454.64390418534,0.00499449890229681
"Pedigree:SiteYear",870.097603513658,0.0751519595853109,7.24153936756048,0.274138577338745,851.456726276999,1.2982030996764e-05
"error",10867.1559160374,0.268293814251736,25.8524225941362,0.517970862357851,1608.7840648021,1.32475454151747e-05
