"","Figure","Panel","Weights","Ensemble","Comparison","Fit","c","d","e","Pr90"
"61","S1","J","uniform_weights","DNN-SO","KNN","EXD3",1.00474497406147,1.01972595505318,1.21029631726109,3
"62","S1","J","uniform_weights","DNN-SO","RNR","EXD3",1.01598938420962,1.04182979461154,1.21029631726109,3
"63","S1","J","uniform_weights","DNN-SO","RF","EXD3",0.977436206365451,1.00323591460643,1.21029631726109,3
"64","S1","J","uniform_weights","DNN-SO","SVR","EXD3",0.950525000874917,1.03627909484033,1.21029631726109,3
"65","S1","J","uniform_weights","DNN-SO","DNN-CO","EXD3",0.941563885857377,0.978728051236962,1.21029631726109,3
"66","S1","J","uniform_weights","DNN-SO","DNN-SO","EXD3",0.984700706402818,1.09047776187508,1.21029631726109,3
"67","S2","A","uniform_by_type_weights","Any","","EXD3",0.930523040340858,1.09041558320409,1.97867771172183,5
"68","S2","B","uniform_by_type_weights","All","","EXD3",0.922007553020678,0.931002471192873,39.0655542859473,90
"69","S2","C","uniform_by_type_weights","LM","BLUP","EXD3",0.890767417277946,0.966262783083639,0.449368140141822,2
"70","S2","C","uniform_by_type_weights","LM","SVR","EXD3",0.945897999582676,1.06631453352937,0.449368140141822,2
"71","S2","C","uniform_by_type_weights","LM","DNN-CO","EXD3",0.916724746816905,0.942846427640877,0.449368140141822,2
"72","S2","C","uniform_by_type_weights","LM","DNN-SO","EXD3",0.948096617257373,0.999417284328347,0.449368140141822,2
"73","S2","C","uniform_by_type_weights","LM","LM","Linear",0.98026563945309,NA,NA,NA
"74","S2","C","uniform_by_type_weights","LM","KNN","Linear",0.98026563945309,NA,NA,NA
"75","S2","C","uniform_by_type_weights","LM","RNR","Linear",0.98026563945309,NA,NA,NA
"76","S2","C","uniform_by_type_weights","LM","RF","Linear",0.98026563945309,NA,NA,NA
"77","S2","D","uniform_by_type_weights","BLUP","LM","EXD3",0.890581062487476,0.900200608935527,1.53377433519517,4
"78","S2","D","uniform_by_type_weights","BLUP","BLUP","EXD3",0.901869578118372,0.969059221651311,1.53377433519517,4
"79","S2","D","uniform_by_type_weights","BLUP","KNN","EXD3",0.932454738648916,0.960987501850696,1.53377433519517,4
"80","S2","D","uniform_by_type_weights","BLUP","RNR","EXD3",0.945315985919006,0.961780934509414,1.53377433519517,4
"81","S2","D","uniform_by_type_weights","BLUP","RF","EXD3",0.919810811592026,0.950972903807428,1.53377433519517,4
"82","S2","D","uniform_by_type_weights","BLUP","SVR","EXD3",0.886113129930331,0.939231838179959,1.53377433519517,4
"83","S2","D","uniform_by_type_weights","BLUP","DNN-CO","EXD3",0.891871092178841,0.919405771831664,1.53377433519517,4
