"","Figure","Panel","Weights","Ensemble","Comparison","Fit","c","d","e","Pr90"
"255","S3","I","inv_var_weights","DNN-CO","DNN-CO","EXD3",0.938532377736802,0.974343808066932,0.965427085920064,3
"256","S3","I","inv_var_weights","DNN-CO","DNN-SO","EXD3",0.952829822240205,0.99684096059039,0.965427085920064,3
"257","S3","J","inv_var_weights","DNN-SO","LM","EXD3",0.947959206832432,0.958786800111356,1.39611925355029,4
"258","S3","J","inv_var_weights","DNN-SO","BLUP","EXD3",0.931845993081698,0.974242465964008,1.39611925355029,4
"259","S3","J","inv_var_weights","DNN-SO","KNN","EXD3",0.991614151218039,1.03770913011504,1.39611925355029,4
"260","S3","J","inv_var_weights","DNN-SO","RNR","EXD3",0.997414469489654,1.03449279953476,1.39611925355029,4
"261","S3","J","inv_var_weights","DNN-SO","RF","EXD3",0.974725900322566,0.998322691683115,1.39611925355029,4
"262","S3","J","inv_var_weights","DNN-SO","SVR","EXD3",0.955917838508566,0.998104481313479,1.39611925355029,4
"263","S3","J","inv_var_weights","DNN-SO","DNN-CO","EXD3",0.952253823848269,0.984409160759069,1.39611925355029,4
"264","S3","J","inv_var_weights","DNN-SO","DNN-SO","EXD3",0.9860124238607,1.0625495391502,1.39611925355029,4
"265","2","A","inv_rmse_weights","Any","","EXD3",0.388523565450796,0.973223158750471,8876.60394491851,20440
"266","2","B","inv_rmse_weights","All","","EXD3",0.963193122394712,0.972696576091004,28.113402262912,65
"267","2","C","inv_rmse_weights","LM","BLUP","EXD3",0.883998150384728,0.909316483612589,1.9042024588943,5
"268","2","C","inv_rmse_weights","LM","SVR","EXD3",0.943832307796289,0.972441393660479,1.9042024588943,5
"269","2","C","inv_rmse_weights","LM","DNN-CO","EXD3",0.915196251399603,0.931463273341983,1.9042024588943,5
"270","2","C","inv_rmse_weights","LM","DNN-SO","EXD3",0.948015867374715,0.97498898888306,1.9042024588943,5
"271","2","C","inv_rmse_weights","LM","LM","Linear",1.00534073089005,NA,NA,NA
"272","2","C","inv_rmse_weights","LM","KNN","Linear",1.00534073089005,NA,NA,NA
"273","2","C","inv_rmse_weights","LM","RNR","Linear",1.00534073089005,NA,NA,NA
"274","2","C","inv_rmse_weights","LM","RF","Linear",1.00534073089005,NA,NA,NA
"275","2","D","inv_rmse_weights","BLUP","LM","EXD3",0.885391382492748,0.915328974702324,1.18038853722203,3
"276","2","D","inv_rmse_weights","BLUP","BLUP","EXD3",0.902366762862044,0.991666593262308,1.18038853722203,3
"277","2","D","inv_rmse_weights","BLUP","KNN","EXD3",0.977948520393939,0.97574134978621,1.18038853722203,3
"278","2","D","inv_rmse_weights","BLUP","RNR","EXD3",0.995776739863758,0.991162836433441,1.18038853722203,3
"279","2","D","inv_rmse_weights","BLUP","RF","EXD3",0.902653201615911,0.938074875068408,1.18038853722203,3
"280","2","D","inv_rmse_weights","BLUP","SVR","EXD3",0.882567926620889,0.950859570302354,1.18038853722203,3
"281","2","D","inv_rmse_weights","BLUP","DNN-CO","EXD3",0.890985540937974,0.934850780005317,1.18038853722203,3
"282","2","D","inv_rmse_weights","BLUP","DNN-SO","EXD3",0.91387478535518,0.955216416711118,1.18038853722203,3
"283","2","E","inv_rmse_weights","KNN","BLUP","EXD3",0.976711113785568,0.978672462617991,9.5054082626419,22
"284","2","E","inv_rmse_weights","KNN","SVR","EXD3",1.02786746796145,1.03119158625863,9.5054082626419,22
"285","2","E","inv_rmse_weights","KNN","DNN-CO","EXD3",1.00488640329032,1.00809351164343,9.5054082626419,22
"286","2","E","inv_rmse_weights","KNN","DNN-SO","EXD3",1.02440942982629,1.02676275250759,9.5054082626419,22
"287","2","E","inv_rmse_weights","KNN","LM","Linear",1.0470115004601,NA,NA,NA
"288","2","E","inv_rmse_weights","KNN","KNN","Linear",1.0470115004601,NA,NA,NA
"289","2","E","inv_rmse_weights","KNN","RNR","Linear",1.0470115004601,NA,NA,NA
"290","2","E","inv_rmse_weights","KNN","RF","Linear",1.0470115004601,NA,NA,NA
"291","2","F","inv_rmse_weights","RNR","BLUP","EXD3",0.999482432971538,0.994839383176029,39.5735423769346,92
"292","2","F","inv_rmse_weights","RNR","SVR","EXD3",1.04181744118767,1.05146912288414,39.5735423769346,92
"293","2","F","inv_rmse_weights","RNR","DNN-CO","EXD3",1.01841031993437,1.02400197043882,39.5735423769346,92
"294","2","F","inv_rmse_weights","RNR","DNN-SO","EXD3",1.04032738571878,1.04496300090657,39.5735423769346,92
"295","2","F","inv_rmse_weights","RNR","LM","Linear",1.06287703851461,NA,NA,NA
"296","2","F","inv_rmse_weights","RNR","KNN","Linear",1.06287703851461,NA,NA,NA
"297","2","F","inv_rmse_weights","RNR","RNR","Linear",1.06287703851461,NA,NA,NA
"298","2","F","inv_rmse_weights","RNR","RF","Linear",1.06287703851461,NA,NA,NA
"299","2","G","inv_rmse_weights","RF","BLUP","EXD3",0.902932896469124,0.940471505026119,1.10086546118721,3
"300","2","G","inv_rmse_weights","RF","RF","EXD3",1.10580685340972,1.10776379637834,1.10086546118721,3
"301","2","G","inv_rmse_weights","RF","SVR","EXD3",0.973641207293454,1.02274894912728,1.10086546118721,3
"302","2","G","inv_rmse_weights","RF","DNN-CO","EXD3",0.922968670285528,0.952133131197462,1.10086546118721,3
"303","2","G","inv_rmse_weights","RF","DNN-SO","EXD3",0.968955247003137,1.00609131076355,1.10086546118721,3
"304","2","G","inv_rmse_weights","RF","LM","Linear",1.01710225413642,NA,NA,NA
"305","2","G","inv_rmse_weights","RF","KNN","Linear",1.01710225413643,NA,NA,NA
"306","2","G","inv_rmse_weights","RF","RNR","Linear",1.01710225413643,NA,NA,NA
"307","2","H","inv_rmse_weights","SVR","LM","EXD3",0.944838144402619,0.981691549461093,1.34048993019267,4
"308","2","H","inv_rmse_weights","SVR","BLUP","EXD3",0.882204304199033,0.94149463358909,1.34048993019267,4
"309","2","H","inv_rmse_weights","SVR","KNN","EXD3",1.02932983496944,1.03487917379867,1.34048993019267,4
"310","2","H","inv_rmse_weights","SVR","RNR","EXD3",1.04980938046991,1.05456099513664,1.34048993019267,4
"311","2","H","inv_rmse_weights","SVR","RF","EXD3",0.973234353966516,1.01450841965549,1.34048993019267,4
"312","2","H","inv_rmse_weights","SVR","SVR","EXD3",0.958783511201689,1.133498822008,1.34048993019267,4
"313","2","H","inv_rmse_weights","SVR","DNN-CO","EXD3",0.918166151142491,0.980953432886949,1.34048993019267,4
"314","2","H","inv_rmse_weights","SVR","DNN-SO","EXD3",0.953383523270058,1.01042402765624,1.34048993019267,4
"315","2","I","inv_rmse_weights","DNN-CO","LM","EXD3",0.915863381406985,0.967058404461928,0.738918885901279,2
"316","2","I","inv_rmse_weights","DNN-CO","BLUP","EXD3",0.891459400914444,0.970167155104267,0.738918885901279,2
"317","2","I","inv_rmse_weights","DNN-CO","KNN","EXD3",1.00644034020994,1.01642252008642,0.738918885901279,2
"318","2","I","inv_rmse_weights","DNN-CO","RNR","EXD3",1.02316794871673,1.02677375237732,0.738918885901279,2
"319","2","I","inv_rmse_weights","DNN-CO","RF","EXD3",0.923351794168446,0.968811904093499,0.738918885901279,2
"320","2","I","inv_rmse_weights","DNN-CO","SVR","EXD3",0.919710300204054,1.037997172803,0.738918885901279,2
"321","2","I","inv_rmse_weights","DNN-CO","DNN-CO","EXD3",0.938559719394176,0.968065711541795,0.738918885901279,2
"322","2","I","inv_rmse_weights","DNN-CO","DNN-SO","EXD3",0.944447411581119,1.03943940007015,0.738918885901279,2
"323","2","J","inv_rmse_weights","DNN-SO","LM","EXD3",0.94887764469454,0.984348301367941,1.30490326840933,4
"324","2","J","inv_rmse_weights","DNN-SO","BLUP","EXD3",0.913546688937431,0.953664258931331,1.30490326840933,4
"325","2","J","inv_rmse_weights","DNN-SO","KNN","EXD3",1.02553242170843,1.02855386266931,1.30490326840933,4
"326","2","J","inv_rmse_weights","DNN-SO","RNR","EXD3",1.0441501735685,1.04666591122532,1.30490326840933,4
"327","2","J","inv_rmse_weights","DNN-SO","RF","EXD3",0.968654235435036,1.00098053885803,1.30490326840933,4
"328","2","J","inv_rmse_weights","DNN-SO","SVR","EXD3",0.953412924399615,1.01187921009284,1.30490326840933,4
"329","2","J","inv_rmse_weights","DNN-SO","DNN-CO","EXD3",0.943436846440761,0.993624053950295,1.30490326840933,4
"330","2","J","inv_rmse_weights","DNN-SO","DNN-SO","EXD3",0.983614836176121,1.07935422828526,1.30490326840933,4
