"","Ensemble","Model1","Model2","Fit","RMSE"
"96","uniform_by_type_weights","RNR","RF","Linear",1.04535620079993
"97","uniform_by_type_weights","RF","BLUP","EXD3",0.920258834883472
"98","uniform_by_type_weights","RF","RF","EXD3",1.10573462993835
"99","uniform_by_type_weights","RF","SVR","EXD3",0.969089352297338
"100","uniform_by_type_weights","RF","DNN-CO","EXD3",0.930816667440673
"101","uniform_by_type_weights","RF","DNN-SO","EXD3",0.977292005728849
"102","uniform_by_type_weights","RF","LM","Linear",1.00945333545057
"103","uniform_by_type_weights","RF","KNN","Linear",1.00945333545057
"104","uniform_by_type_weights","RF","RNR","Linear",1.00945333545057
"105","uniform_by_type_weights","SVR","LM","EXD3",0.945333533414129
"106","uniform_by_type_weights","SVR","BLUP","EXD3",0.887386085343682
"107","uniform_by_type_weights","SVR","KNN","EXD3",0.988700615070048
"108","uniform_by_type_weights","SVR","RNR","EXD3",0.998828121427431
"109","uniform_by_type_weights","SVR","RF","EXD3",0.969381864804202
"110","uniform_by_type_weights","SVR","SVR","EXD3",0.959264996693485
"111","uniform_by_type_weights","SVR","DNN-CO","EXD3",0.920207722288589
"112","uniform_by_type_weights","SVR","DNN-SO","EXD3",0.949998328338899
"113","uniform_by_type_weights","DNN-CO","LM","EXD3",0.916493279381651
"114","uniform_by_type_weights","DNN-CO","BLUP","EXD3",0.892289659368182
"115","uniform_by_type_weights","DNN-CO","KNN","EXD3",0.966286286442423
"116","uniform_by_type_weights","DNN-CO","RNR","EXD3",0.974637878925098
"117","uniform_by_type_weights","DNN-CO","RF","EXD3",0.930828913246102
"118","uniform_by_type_weights","DNN-CO","SVR","EXD3",0.919936474631734
"119","uniform_by_type_weights","DNN-CO","DNN-CO","EXD3",0.936910477704532
"120","uniform_by_type_weights","DNN-CO","DNN-SO","EXD3",0.94278700563199
"121","uniform_by_type_weights","DNN-SO","LM","EXD3",0.947229804942763
"122","uniform_by_type_weights","DNN-SO","BLUP","EXD3",0.917575262715388
"123","uniform_by_type_weights","DNN-SO","KNN","EXD3",1.00348992921771
"124","uniform_by_type_weights","DNN-SO","RNR","EXD3",1.01573268019494
"125","uniform_by_type_weights","DNN-SO","RF","EXD3",0.977252686451674
"126","uniform_by_type_weights","DNN-SO","SVR","EXD3",0.949628013681644
"127","uniform_by_type_weights","DNN-SO","DNN-CO","EXD3",0.942750047082185
"128","uniform_by_type_weights","DNN-SO","DNN-SO","EXD3",0.985126930950143
"129","inv_std_weights","LM","BLUP","EXD3",0.898587320365039
"130","inv_std_weights","LM","SVR","EXD3",0.944219132856558
"131","inv_std_weights","LM","DNN-CO","EXD3",0.922006260097334
"132","inv_std_weights","LM","DNN-SO","EXD3",0.947700654131174
"133","inv_std_weights","LM","LM","Linear",0.973207484393837
"134","inv_std_weights","LM","KNN","Linear",0.973207484393837
"135","inv_std_weights","LM","RNR","Linear",0.973207484393837
"136","inv_std_weights","LM","RF","Linear",0.973207484393837
"137","inv_std_weights","BLUP","LM","EXD3",0.898619094654572
"138","inv_std_weights","BLUP","BLUP","EXD3",0.902890950817075
"139","inv_std_weights","BLUP","KNN","EXD3",0.925718676316618
"140","inv_std_weights","BLUP","RNR","EXD3",0.936389387610443
"141","inv_std_weights","BLUP","RF","EXD3",0.934298803575112
"142","inv_std_weights","BLUP","SVR","EXD3",0.887660358108779
"143","inv_std_weights","BLUP","DNN-CO","EXD3",0.891315947288087
"144","inv_std_weights","BLUP","DNN-SO","EXD3",0.922011434638535
"145","inv_std_weights","KNN","BLUP","EXD3",0.925923459952549
"146","inv_std_weights","KNN","SVR","EXD3",0.983762213512942
"147","inv_std_weights","KNN","DNN-CO","EXD3",0.963407540139811
"148","inv_std_weights","KNN","DNN-SO","EXD3",0.996301570461065
"149","inv_std_weights","KNN","LM","Linear",1.03344721249941
"150","inv_std_weights","KNN","KNN","Linear",1.03344721249941
"151","inv_std_weights","KNN","RNR","Linear",1.03344721249941
"152","inv_std_weights","KNN","RF","Linear",1.03344721249941
"153","inv_std_weights","RNR","BLUP","EXD3",0.936470728185671
"154","inv_std_weights","RNR","SVR","EXD3",0.992271047008603
"155","inv_std_weights","RNR","DNN-CO","EXD3",0.971644757400897
