"","Model1","Model2","inv_rmse_weights","inv_std_weights","inv_var_weights","uniform_by_type_weights","uniform_weights"
"55","DNN-CO","DNN-CO",0.935958068648044,0.935832655815992,0.937213281016494,0.935238929725108,0.935019342602516
"56","DNN-CO","DNN-SO",0.942696989864536,0.946951439181076,0.949435356498674,0.94093908096402,0.940858732258541
"57","DNN-SO","LM",0.947928589476689,0.947911902128494,0.948550032076009,0.947110605578438,0.946700485358471
"58","DNN-SO","BLUP",0.912678787582002,0.921672101596295,0.930403950985636,0.912417409486182,0.916511269513448
"59","DNN-SO","KNN",1.02539373280884,0.995395456299433,0.993038993039263,1.0029313207498,1.0024906716174
"60","DNN-SO","RNR",1.04372709822719,1.0044878144276,0.996563421590766,1.01753643925916,1.01614642202159
"61","DNN-SO","RF",0.967492368545963,0.976112609829605,0.973412306066959,0.977057527051635,0.976880836248582
"62","DNN-SO","SVR",0.950609733518007,0.950546944484178,0.952461077367801,0.948249267512144,0.948897975923034
"63","DNN-SO","DNN-CO",0.942696989864536,0.946951439181076,0.949435356498674,0.94093908096402,0.940858732258541
"64","DNN-SO","DNN-SO",0.979597306187473,0.982901642495206,0.983143340358191,0.978169565167266,0.981632254731886
