rmse,ensemble,n_mods
1.0901498128690432,uniform_weights,1
1.0901498128690432,uniform_by_type_weights,1
0.9926409347861768,inv_std_weights,1
0.8579024196965547,inv_var_weights,1
1.1056330355531907,inv_rmse_weights,1
1.073349316575752,uniform_weights,2
1.0430221601270526,uniform_by_type_weights,2
0.9795793531988045,inv_std_weights,2
0.936265164354906,inv_var_weights,2
1.0733517319603063,inv_rmse_weights,2
0.9192137430447138,uniform_weights,3
0.9107074715654052,uniform_by_type_weights,3
0.9828655715342959,inv_std_weights,3
0.9276310101379958,inv_var_weights,3
1.0534182173117181,inv_rmse_weights,3
0.9995051085113087,uniform_weights,4
0.9705549935113299,uniform_by_type_weights,4
0.905103318999072,inv_std_weights,4
0.9783023823292686,inv_var_weights,4
0.9822316936254258,inv_rmse_weights,4
0.9484416615220346,uniform_weights,5
0.9641294651558213,uniform_by_type_weights,5
0.955882286792316,inv_std_weights,5
0.9344109631849818,inv_var_weights,5
0.9322174080145913,inv_rmse_weights,5
0.970225788798065,uniform_weights,6
0.9179884711047996,uniform_by_type_weights,6
0.9225501048053184,inv_std_weights,6
1.0126094240205932,inv_var_weights,6
1.0100314984692993,inv_rmse_weights,6
0.9067684185688758,uniform_weights,7
0.9904259916069235,uniform_by_type_weights,7
0.9380876060901759,inv_std_weights,7
0.9286433747651045,inv_var_weights,7
0.9413958473891766,inv_rmse_weights,7
0.9692121920843529,uniform_weights,8
0.9234120996028408,uniform_by_type_weights,8
0.9244677289376138,inv_std_weights,8
0.9750078532347382,inv_var_weights,8
0.9112204192338127,inv_rmse_weights,8
0.9355820863145806,uniform_weights,9
0.9444014439558377,uniform_by_type_weights,9
0.953926376814239,inv_std_weights,9
0.9260968352988994,inv_var_weights,9
0.998479501089374,inv_rmse_weights,9
0.951104287056971,uniform_weights,10
0.9588471560259471,uniform_by_type_weights,10
0.9666518599791181,inv_std_weights,10
0.9410856770556728,inv_var_weights,10
0.8938922610718706,inv_rmse_weights,10
0.929656576934001,uniform_weights,11
0.9151994072883491,uniform_by_type_weights,11
0.9147282958854703,inv_std_weights,11
0.933463806241512,inv_var_weights,11
0.9424686276882681,inv_rmse_weights,11
0.9404160174474792,uniform_weights,12
0.9333829517262546,uniform_by_type_weights,12
0.9231456795379583,inv_std_weights,12
0.9513150217346622,inv_var_weights,12
0.9768223667431667,inv_rmse_weights,12
0.9418883836206877,uniform_weights,13
0.9574571139153399,uniform_by_type_weights,13
0.9571518301955949,inv_std_weights,13
0.9563461373783326,inv_var_weights,13
1.0182251164918572,inv_rmse_weights,13
0.950902790166691,uniform_weights,14
0.9386705904272209,uniform_by_type_weights,14
0.9467572335529938,inv_std_weights,14
0.9365037425192377,inv_var_weights,14
0.9813435021910467,inv_rmse_weights,14
0.9724349674784805,uniform_weights,15
0.93836060368031,uniform_by_type_weights,15
0.9468097230830641,inv_std_weights,15
0.9570027595854328,inv_var_weights,15
0.9991333407171538,inv_rmse_weights,15
0.9245442872447748,uniform_weights,16
0.9350042833850443,uniform_by_type_weights,16
0.9593275284003263,inv_std_weights,16
0.9236362473802769,inv_var_weights,16
0.970289650059738,inv_rmse_weights,16
0.9675375723994026,uniform_weights,17
0.9532432512413045,uniform_by_type_weights,17
0.9439939053756714,inv_std_weights,17
0.9360511633681103,inv_var_weights,17
0.964619049529792,inv_rmse_weights,17
0.939931969455062,uniform_weights,18
0.9231599682973163,uniform_by_type_weights,18
0.9234453345834505,inv_std_weights,18
0.9451236030407622,inv_var_weights,18
0.9831796857062697,inv_rmse_weights,18
0.9422002596115017,uniform_weights,19
0.9558618782484133,uniform_by_type_weights,19
0.9454698380878047,inv_std_weights,19
0.9412443933998537,inv_var_weights,19
1.0113716143843408,inv_rmse_weights,19
0.9518560757186638,uniform_weights,20
0.9403597863718581,uniform_by_type_weights,20
0.9150420755562081,inv_std_weights,20
0.9177922510723235,inv_var_weights,20
0.9757574987913661,inv_rmse_weights,20
0.9258545814657583,uniform_weights,21
0.9326625004841786,uniform_by_type_weights,21
0.9187930743580945,inv_std_weights,21
0.9106616820474247,inv_var_weights,21
0.9748956518575002,inv_rmse_weights,21
0.9470372922260881,uniform_weights,22
0.9150618900357415,uniform_by_type_weights,22
0.9343236240186382,inv_std_weights,22
0.9260333177549005,inv_var_weights,22
0.9706489094459386,inv_rmse_weights,22
0.9264275445147383,uniform_weights,23
0.9624385929870042,uniform_by_type_weights,23
0.9484025258222963,inv_std_weights,23
0.9221150931502075,inv_var_weights,23
0.9779961808905018,inv_rmse_weights,23
0.943720540700965,uniform_weights,24
0.9376039649134308,uniform_by_type_weights,24
0.9199515135726954,inv_std_weights,24
0.9342964425683419,inv_var_weights,24
0.9794304771479013,inv_rmse_weights,24
0.9328582740264889,uniform_weights,25
0.9312725888847965,uniform_by_type_weights,25
0.9843782385449694,inv_std_weights,25
0.9081819033680814,inv_var_weights,25
0.968410031112707,inv_rmse_weights,25
0.9252313249179287,uniform_weights,26
0.9342304054983674,uniform_by_type_weights,26
0.9248603894126173,inv_std_weights,26
0.9571635609285706,inv_var_weights,26
1.002618026730329,inv_rmse_weights,26
0.9281876740698747,uniform_weights,27
0.9343301714890148,uniform_by_type_weights,27
0.9236576247561008,inv_std_weights,27
0.935960106468552,inv_var_weights,27
