,RMSE,Ensemble,Split,Name
46,0.8387147277030146,uniform_by_type_weights,Train,Best in Test
47,0.8413679968831186,uniform_by_type_weights,Train,Best in Test
48,0.6015086223339817,uniform_by_type_weights,Train,Best in Test
49,0.6007428205459271,uniform_by_type_weights,Train,Best in Test
0,0.5772790543777339,inv_std_weights,Train,Best in Test
1,0.5541966214612833,inv_std_weights,Train,Best in Test
2,0.5606448960717119,inv_std_weights,Train,Best in Test
3,0.5548877009280027,inv_std_weights,Train,Best in Test
4,0.5598990332155361,inv_std_weights,Train,Best in Test
5,0.558915880044324,inv_std_weights,Train,Best in Test
6,0.5585035149626367,inv_std_weights,Train,Best in Test
7,0.5926009341841194,inv_std_weights,Train,Best in Test
8,0.5572488075806509,inv_std_weights,Train,Best in Test
9,0.5529752369158915,inv_std_weights,Train,Best in Test
10,0.5577796235456589,inv_std_weights,Train,Best in Test
11,0.561338510074372,inv_std_weights,Train,Best in Test
12,0.5788538725592508,inv_std_weights,Train,Best in Test
13,0.5620730212614149,inv_std_weights,Train,Best in Test
14,0.5568891071560048,inv_std_weights,Train,Best in Test
15,0.5605781823972146,inv_std_weights,Train,Best in Test
16,0.5562390853557232,inv_std_weights,Train,Best in Test
17,0.560221317735005,inv_std_weights,Train,Best in Test
18,0.5584776222109964,inv_std_weights,Train,Best in Test
19,0.5559531004684353,inv_std_weights,Train,Best in Test
20,0.5620041146217358,inv_std_weights,Train,Best in Test
21,0.5585610941683183,inv_std_weights,Train,Best in Test
22,0.555427359699311,inv_std_weights,Train,Best in Test
23,0.5616269463323507,inv_std_weights,Train,Best in Test
24,0.5551943652757293,inv_std_weights,Train,Best in Test
25,0.5784891999040386,inv_std_weights,Train,Best in Test
26,0.558339214909501,inv_std_weights,Train,Best in Test
27,0.5601943727017722,inv_std_weights,Train,Best in Test
28,0.5553301733672117,inv_std_weights,Train,Best in Test
29,0.5599994482218491,inv_std_weights,Train,Best in Test
30,0.5547090074182389,inv_std_weights,Train,Best in Test
31,0.5788410669326635,inv_std_weights,Train,Best in Test
32,0.5627386524615262,inv_std_weights,Train,Best in Test
33,0.5587139384942611,inv_std_weights,Train,Best in Test
34,0.5580744776495824,inv_std_weights,Train,Best in Test
35,0.5564417107143724,inv_std_weights,Train,Best in Test
36,0.5571642588511512,inv_std_weights,Train,Best in Test
37,0.5586033038268181,inv_std_weights,Train,Best in Test
38,0.5599373753573758,inv_std_weights,Train,Best in Test
39,0.5695969283802756,inv_std_weights,Train,Best in Test
40,0.5565436546637206,inv_std_weights,Train,Best in Test
41,0.5666751069582927,inv_std_weights,Train,Best in Test
42,0.5554891071422032,inv_std_weights,Train,Best in Test
43,0.5538750624142469,inv_std_weights,Train,Best in Test
44,0.5563539506805125,inv_std_weights,Train,Best in Test
45,0.5622464811018814,inv_std_weights,Train,Best in Test
46,0.5541569989268923,inv_std_weights,Train,Best in Test
47,0.559609087433319,inv_std_weights,Train,Best in Test
48,0.5555157878729391,inv_std_weights,Train,Best in Test
49,0.5608085704303388,inv_std_weights,Train,Best in Test
0,0.5700431061955592,inv_var_weights,Train,Best in Test
1,0.564726006723152,inv_var_weights,Train,Best in Test
2,0.5638135652008349,inv_var_weights,Train,Best in Test
3,0.5657030793578302,inv_var_weights,Train,Best in Test
4,0.5668388200866529,inv_var_weights,Train,Best in Test
5,0.5672972330454844,inv_var_weights,Train,Best in Test
6,0.5684832766050559,inv_var_weights,Train,Best in Test
7,0.5656570113877573,inv_var_weights,Train,Best in Test
8,0.5730287512138226,inv_var_weights,Train,Best in Test
9,0.5705570115576934,inv_var_weights,Train,Best in Test
10,0.5684121540387418,inv_var_weights,Train,Best in Test
11,0.564776372982222,inv_var_weights,Train,Best in Test
12,0.5659614186343288,inv_var_weights,Train,Best in Test
13,0.5650788904503643,inv_var_weights,Train,Best in Test
14,0.566932340878059,inv_var_weights,Train,Best in Test
15,0.5660470485750569,inv_var_weights,Train,Best in Test
16,0.5744921456339652,inv_var_weights,Train,Best in Test
17,0.5660967779972964,inv_var_weights,Train,Best in Test
18,0.5736315409149555,inv_var_weights,Train,Best in Test
19,0.5678379037369853,inv_var_weights,Train,Best in Test
20,0.5663763434618775,inv_var_weights,Train,Best in Test
21,0.5660404956470757,inv_var_weights,Train,Best in Test
22,0.5673007095404989,inv_var_weights,Train,Best in Test
23,0.5692227737168477,inv_var_weights,Train,Best in Test
24,0.5690581962201884,inv_var_weights,Train,Best in Test
25,0.5684255066410713,inv_var_weights,Train,Best in Test
26,0.571461200508048,inv_var_weights,Train,Best in Test
27,0.5685048598369009,inv_var_weights,Train,Best in Test
28,0.5656245630167586,inv_var_weights,Train,Best in Test
29,0.5657369251858033,inv_var_weights,Train,Best in Test
30,0.5671273315569523,inv_var_weights,Train,Best in Test
31,0.5700877218319457,inv_var_weights,Train,Best in Test
32,0.5668853417669877,inv_var_weights,Train,Best in Test
33,0.5672664101128962,inv_var_weights,Train,Best in Test
34,0.5654863633925614,inv_var_weights,Train,Best in Test
35,0.5666283630097461,inv_var_weights,Train,Best in Test
36,0.5659493585374922,inv_var_weights,Train,Best in Test
37,0.5663218376957797,inv_var_weights,Train,Best in Test
38,0.5690041035376039,inv_var_weights,Train,Best in Test
39,0.5667617519375251,inv_var_weights,Train,Best in Test
40,0.5670733217363311,inv_var_weights,Train,Best in Test
41,0.5673938103991011,inv_var_weights,Train,Best in Test
42,0.5738125764778971,inv_var_weights,Train,Best in Test
43,0.5680568653403584,inv_var_weights,Train,Best in Test
44,0.5717417696727171,inv_var_weights,Train,Best in Test
45,0.5690140214837754,inv_var_weights,Train,Best in Test
46,0.566198882504552,inv_var_weights,Train,Best in Test
47,0.5706704668469242,inv_var_weights,Train,Best in Test
48,0.5693087717125846,inv_var_weights,Train,Best in Test
49,0.5664897869373541,inv_var_weights,Train,Best in Test
0,0.5397994820599369,inv_rmse_weights,Train,Best in Test
1,0.536733605073463,inv_rmse_weights,Train,Best in Test
2,0.5383294258811288,inv_rmse_weights,Train,Best in Test
3,0.5340229536203168,inv_rmse_weights,Train,Best in Test
4,0.5354622910246352,inv_rmse_weights,Train,Best in Test
5,0.5415649239576895,inv_rmse_weights,Train,Best in Test
6,0.5354438363818911,inv_rmse_weights,Train,Best in Test
7,0.5362635980339272,inv_rmse_weights,Train,Best in Test
8,0.5344970493104892,inv_rmse_weights,Train,Best in Test
9,0.5330790640522137,inv_rmse_weights,Train,Best in Test
10,0.5383826706311144,inv_rmse_weights,Train,Best in Test
11,0.5363449003381727,inv_rmse_weights,Train,Best in Test
12,0.534634977348899,inv_rmse_weights,Train,Best in Test
13,0.5327853979320912,inv_rmse_weights,Train,Best in Test
14,0.537687074326204,inv_rmse_weights,Train,Best in Test
15,0.5463982778259796,inv_rmse_weights,Train,Best in Test
16,0.540093101338212,inv_rmse_weights,Train,Best in Test
17,0.5374625136705548,inv_rmse_weights,Train,Best in Test
18,0.5415249568408901,inv_rmse_weights,Train,Best in Test
19,0.5331845225275443,inv_rmse_weights,Train,Best in Test
20,0.5328493067810008,inv_rmse_weights,Train,Best in Test
21,0.5340963763500511,inv_rmse_weights,Train,Best in Test
22,0.5341692618091983,inv_rmse_weights,Train,Best in Test
23,0.5333220808693361,inv_rmse_weights,Train,Best in Test
24,0.5327626009159163,inv_rmse_weights,Train,Best in Test
25,0.5345538463969103,inv_rmse_weights,Train,Best in Test
26,0.5326774406563328,inv_rmse_weights,Train,Best in Test
27,0.5359946292786697,inv_rmse_weights,Train,Best in Test
28,0.538476394944064,inv_rmse_weights,Train,Best in Test
29,0.5334204368263037,inv_rmse_weights,Train,Best in Test
30,0.5315041419898255,inv_rmse_weights,Train,Best in Test
31,0.5337502234035423,inv_rmse_weights,Train,Best in Test
32,0.5372307679410069,inv_rmse_weights,Train,Best in Test
33,0.5364182848797832,inv_rmse_weights,Train,Best in Test
34,0.5354240919347917,inv_rmse_weights,Train,Best in Test
35,0.5320908078888259,inv_rmse_weights,Train,Best in Test
36,0.5379922258567068,inv_rmse_weights,Train,Best in Test
37,0.5359127597161241,inv_rmse_weights,Train,Best in Test
38,0.5399092108357673,inv_rmse_weights,Train,Best in Test
39,0.5336974124143998,inv_rmse_weights,Train,Best in Test
40,0.5367245577965261,inv_rmse_weights,Train,Best in Test
41,0.5347393576001807,inv_rmse_weights,Train,Best in Test
42,0.5391121935698214,inv_rmse_weights,Train,Best in Test
